Underlying Exposure Identifier,Loan Identifier,Unique Loan Identifier,Original Underlying Exposure Identifier,Original Obligor Identifier,New Underlying Exposure Identifier,New Obligor Identifier,Origination Dt,Maturity DATE,Original Principal Balance,Current Principal Balance GBP,Current Interest Rate,Original Loan To Value,Current Loan To Value,Current Valuation Amount,Current Valuation Date,Current Valuation Method,Post Code,Region ,Property Type ,tenure,Borrower Age (Youngest),Account Status,Redemption Date,Data Cut-Off Date,Interest Rate Type,Occupancy Type,Amortisation Type,Origination Channel,Purpose,Total Credit Limit,Number of Days in Arrears,Exposure Currency Denomination,Pool Addition Date,Date of Repurchase,Purchase Price,Arrears Balance,Default Amount,Default Date,Allocated Losses,Cumulative Recoveries,Litigation,Deposit Amount,Collateral Currency,Collateral Type,Original Collateral Identifier,New Collateral Identifier,Scheduled Principal Payment Frequency,Scheduled Interest Payment Frequency,Payment Due,Current Interest Rate Index,Current Interest Rate Index Tenor,Current Interest Rate Margin,Interest Rate Reset Interval,Interest Rate Cap,Interest Rate Floor,Prepayment Fee,Principal Grace Period End Date,Credit Impaired Obligor,Resident,Geographic Region Obligor,Employment Status
SPV1-0014,SPV1-0014,SYN-SPV1-0014,SPV1-0014,OBO-SPV1-0014,SPV1-0014-N,OBL-SPV1-0014,30/05/2019,30/05/2035,"286,138.38", £473401.43 ,7.214,0.2725,0.3812,"1,241,875",31/05/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Detached House,LEASEHOLD,74,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"300,445.30",0,GBP,30/05/2019,,"1,050,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0014-COLL-O,SPV1-0014-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Yorkshire and The Humber,Retired
SPV1-0015,SPV1-0015,SYN-SPV1-0015,SPV1-0015,OBO-SPV1-0015,SPV1-0015-N,OBL-SPV1-0015,30/04/2023,30/04/2041,"226,828.08", £278530.22 ,6.678,0.2413,0.2752,"1,012,124",31/05/2026,Full survey,SW1A 1AA,London,Bungalow,LEASEHOLD,76,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Purchase Main Residence,"238,169.48",0,GBP,30/04/2023,,"940,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0015-COLL-O,SPV1-0015-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,London,Self employed
SPV1-0016,SPV1-0016,SYN-SPV1-0016,SPV1-0016,OBO-SPV1-0016,SPV1-0016-N,OBL-SPV1-0016,30/11/2025,30/11/2050,"112,712.64", £116572.33 ,6.753,0.3315,0.3388,"344,100",31/05/2026,Full survey,CB2 1TN,East of England,Bungalow,Freehold,63,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"118,348.27",0,GBP,30/11/2025,,"340,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0016-COLL-O,SPV1-0016-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,East of England,Retired
SPV1-0017,SPV1-0017,SYN-SPV1-0017,SPV1-0017,OBO-SPV1-0017,SPV1-0017-N,OBL-SPV1-0017,30/06/2020,30/06/2042,"202,013.52", £299518.97 ,6.675,0.3038,0.3908,"766,355",31/05/2026,Full survey,SW1A 1AA,London,Detached House,Freehold,76,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Equity release,"212,114.20",0,GBP,30/06/2020,,"665,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0017-COLL-O,SPV1-0017-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,London,Employed
SPV1-0018,SPV1-0018,SYN-SPV1-0018,SPV1-0018,OBO-SPV1-0018,SPV1-0018-N,OBL-SPV1-0018,30/06/2024,30/06/2039,"414,078.83", £463110.72 ,5.853,0.3632,0.388,"1,193,610",31/05/2026,Full survey,SW1A 1AA,London,Bungalow,LEASEHOLD,61,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Purchase Main Residence,"434,782.77",0,GBP,30/06/2024,,"1,140,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0018-COLL-O,SPV1-0018-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,London,Employed
SPV1-0019,SPV1-0019,SYN-SPV1-0019,SPV1-0019,OBO-SPV1-0019,SPV1-0019-N,OBL-SPV1-0019,30/01/2020,30/01/2040,"223,438.11", £371301.24 ,8.046,0.3147,0.4493,"826,428",31/05/2026,Full survey,B1 1AA,West Midlands,Flat / Apartment,LEASEHOLD,78,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"234,610.02",0,GBP,30/01/2020,,"710,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0019-COLL-O,SPV1-0019-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,West Midlands,Retired
SPV1-0020,SPV1-0020,SYN-SPV1-0020,SPV1-0020,OBO-SPV1-0020,SPV1-0020-N,OBL-SPV1-0020,28/02/2025,28/02/2050,"214,413.91", £235834.53 ,7.642,0.2859,0.3052,"772,818",31/05/2026,Full survey,M1 1AE,North West,Semi Detached,LEASEHOLD,61,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Purchase Main Residence,"225,134.61",0,GBP,28/02/2025,,"750,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0020-COLL-O,SPV1-0020-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,North West,Self employed
SPV1-0021,SPV1-0021,SYN-SPV1-0021,SPV1-0021,OBO-SPV1-0021,SPV1-0021-N,OBL-SPV1-0021,30/01/2026,30/01/2051,"138,477.51", £142369.39 ,8.344,0.2147,0.219,"650,176",31/05/2026,Full survey,RG1 2DP,South East,Flat / Apartment,Freehold,68,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Equity release,"145,401.39",0,GBP,30/01/2026,,"645,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0021-COLL-O,SPV1-0021-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,South East,Retired
SPV1-0022,SPV1-0022,SYN-SPV1-0022,SPV1-0022,OBO-SPV1-0022,SPV1-0022-N,OBL-SPV1-0022,30/03/2019,30/03/2037,"494,427.75", £919797.61 ,8.693,0.4495,0.7042,"1,306,221",31/05/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Bungalow,LEASEHOLD,86,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Home improvements,"519,149.14",0,GBP,30/03/2019,,"1,100,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0022-COLL-O,SPV1-0022-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Yorkshire and The Humber,Self employed
SPV1-0023,SPV1-0023,SYN-SPV1-0023,SPV1-0023,OBO-SPV1-0023,SPV1-0023-N,OBL-SPV1-0023,30/11/2019,30/11/2034,"111,486.89", £184631.55 ,7.786,0.4744,0.6723,"274,631",31/05/2026,Full survey,M1 1AE,North West,Bungalow,Freehold,74,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Purchase Main Residence,"117,061.23",0,GBP,30/11/2019,,"235,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0023-COLL-O,SPV1-0023-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,North West,Self employed
SPV1-0024,SPV1-0024,SYN-SPV1-0024,SPV1-0024,OBO-SPV1-0024,SPV1-0024-N,OBL-SPV1-0024,30/05/2019,30/05/2035,"181,492.03", £304773.56 ,7.428,0.4033,0.5726,"532,232",31/05/2026,Full survey,CF10 1EP,Wales,Bungalow,LEASEHOLD,77,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"190,566.63",0,GBP,30/05/2019,,"450,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0024-COLL-O,SPV1-0024-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Wales,Retired
SPV1-0025,SPV1-0025,SYN-SPV1-0025,SPV1-0025,OBO-SPV1-0025,SPV1-0025-N,OBL-SPV1-0025,30/01/2025,30/01/2042,"72,681.10", £79085.13 ,6.35,0.2506,0.2641,"299,421",31/05/2026,Full survey,NG1 5FS,East Midlands,Bungalow,Freehold,72,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Purchase Main Residence,"76,315.16",0,GBP,30/01/2025,,"290,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0025-COLL-O,SPV1-0025-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,East Midlands,Retired
SPV1-0026,SPV1-0026,SYN-SPV1-0026,SPV1-0026,OBO-SPV1-0026,SPV1-0026-N,OBL-SPV1-0026,30/01/2024,30/01/2045,"155,627.37", £178868.57 ,5.98,0.273,0.2967,"602,797",31/05/2026,Full survey,SW1A 1AA,London,Detached House,LEASEHOLD,74,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Equity release,"163,408.74",0,GBP,30/01/2024,,"570,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0026-COLL-O,SPV1-0026-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,London,Retired
SPV1-0027,SPV1-0027,SYN-SPV1-0027,SPV1-0027,OBO-SPV1-0027,SPV1-0027-N,OBL-SPV1-0027,30/03/2025,30/03/2047,"173,871.68", £189677.44 ,7.481,0.2288,0.2427,"781,559",31/05/2026,Full survey,CF10 1EP,Wales,Detached House,Freehold,68,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"182,565.26",0,GBP,30/03/2025,,"760,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0027-COLL-O,SPV1-0027-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Wales,Retired
SPV1-0028,SPV1-0028,SYN-SPV1-0028,SPV1-0028,OBO-SPV1-0028,SPV1-0028-N,OBL-SPV1-0028,30/07/2024,30/07/2045,"117,408.60", £137064.64 ,8.473,0.2325,0.2597,"527,693",31/05/2026,Full survey,LS1 4AP,Yorkshire and The Humber,Bungalow,Freehold,66,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Home improvements,"123,279.03",0,GBP,30/07/2024,,"505,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0028-COLL-O,SPV1-0028-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Yorkshire and The Humber,Self employed
SPV1-0029,SPV1-0029,SYN-SPV1-0029,SPV1-0029,OBO-SPV1-0029,SPV1-0029-N,OBL-SPV1-0029,30/11/2024,30/11/2040,"147,932.62", £162050.13 ,6.092,0.3287,0.3474,"466,478",31/05/2026,Full survey,RG1 2DP,South East,Flat / Apartment,LEASEHOLD,74,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Home improvements,"155,329.25",0,GBP,30/11/2024,,"450,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0029-COLL-O,SPV1-0029-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,South East,Retired
SPV1-0030,SPV1-0030,SYN-SPV1-0030,SPV1-0030,OBO-SPV1-0030,SPV1-0030-N,OBL-SPV1-0030,30/10/2023,30/10/2041,"369,172.90", £462983.77 ,8.797,0.3483,0.4105,"1,127,730",31/05/2026,Full survey,M1 1AE,North West,Detached House,Freehold,78,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Equity release,"387,631.55",0,GBP,30/10/2023,,"1,060,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0030-COLL-O,SPV1-0030-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,North West,Retired
SPV1-0031,SPV1-0031,SYN-SPV1-0031,SPV1-0031,OBO-SPV1-0031,SPV1-0031-N,OBL-SPV1-0031,30/04/2023,30/04/2045,"120,445.94", £150700.74 ,7.29,0.2902,0.3373,"446,842",31/05/2026,Full survey,CB2 1TN,East of England,Flat / Apartment,Freehold,65,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Home improvements,"126,468.24",0,GBP,30/04/2023,,"415,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0031-COLL-O,SPV1-0031-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,East of England,Employed
SPV1-0032,SPV1-0032,SYN-SPV1-0032,SPV1-0032,OBO-SPV1-0032,SPV1-0032-N,OBL-SPV1-0032,30/03/2021,30/03/2041,"125,742.44", £196039.89 ,8.626,0.3067,0.4224,"464,069",31/05/2026,Full survey,CB2 1TN,East of England,Bungalow,LEASEHOLD,67,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Equity release,"132,029.56",0,GBP,30/03/2021,,"410,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0032-COLL-O,SPV1-0032-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,East of England,Retired
SPV1-0033,SPV1-0033,SYN-SPV1-0033,SPV1-0033,OBO-SPV1-0033,SPV1-0033-N,OBL-SPV1-0033,30/12/2019,30/12/2038,"56,902.73", £84851.05 ,6.243,0.3076,0.3933,"215,768",31/05/2026,Full survey,EH1 1YZ,Scotland,Detached House,Freehold,70,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"59,747.87",0,GBP,30/12/2019,,"185,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0033-COLL-O,SPV1-0033-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Scotland,Retired
SPV1-0034,SPV1-0034,SYN-SPV1-0034,SPV1-0034,OBO-SPV1-0034,SPV1-0034-N,OBL-SPV1-0034,30/04/2024,30/04/2040,"307,303.81", £369624.12 ,8.896,0.2872,0.3286,"1,124,804",31/05/2026,Full survey,CF10 1EP,Wales,Flat / Apartment,Freehold,85,Active,,31/05/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Home improvements,"322,669.00",0,GBP,30/04/2024,,"1,070,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0034-COLL-O,SPV1-0034-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/11/2026,N,Y,Wales,Self employed
