Loan Identifier,Original Obligor Identifier,Data Cut Off Date,Origination Date,Maturity Date,Original Term,Agreement Type,Original Principal Balance,Current Principal Balance,Current Interest Rate,Interest Rate Type,Deposit Amount,Balloon Payment,Monthly Instalment,Payment Frequency,Purpose,Origination Channel,Currency,Account Status,Days Past Due,Arrears Balance,Default Date,Default Amount,Allocated Losses,Cumulative Recoveries,IFRS9 Stage,Internal Risk Grade,Credit Score,Probability of Default,Loss Given Default,Exposure at Default,Employment Status,Primary Income,Borrower Age,Geographic Region - Obligor,Postcode,Collateral Type,New or Used,Original Valuation Amount,Current Valuation Amount,Original Loan-To-Value,Current Loan-To-Value,Vehicle Make,Vehicle Model,Vehicle Registration Year,Mileage,Vehicle Identification Number,Fuel Type
AUTO-0011,OBL-AUTO-0011,2026-01-31,2023-01-28,2027-01-28,48,HP,19514.09,4878.52,8.06,Fixed,1485.91,0.00,439.31,Monthly,Vehicle Purchase,Dealer,GBP,Arrears,6,87.86,,0.00,0.00,0.00,Stage 1,B2,903,0.0188,0.5285,4878.52,SELF_EMPLOYED,62855,27,Yorkshire,LS1 2AB,Motor Vehicle,New,21000.00,10416.00,0.9292,0.4684,Ford,Focus,2023,91,WVW577807902427,Petrol
AUTO-0012,OBL-AUTO-0012,2026-01-31,2022-09-28,2026-09-28,48,PCP,8632.49,2902.33,13.46,Fixed,931.51,1756.30,175.81,Monthly,Vehicle Purchase,Online,GBP,Arrears,67,392.64,,0.00,0.00,0.00,Stage 2,C2,624,0.1788,0.5228,2902.33,EMPLOYED,57280,22,North East,NE1 1AA,Motor Vehicle,Used,9564.00,4208.16,0.9026,0.6897,Ford,Focus,2022,72263,WVW709621670223,Petrol
AUTO-0013,OBL-AUTO-0013,2026-01-31,2022-08-28,2026-08-28,48,PCP,16415.78,4930.17,9.87,Fixed,1471.22,2969.21,320.69,Monthly,Vehicle Purchase,Online,GBP,Arrears,80,855.17,,0.00,0.00,0.00,Stage 2,C1,623,0.1784,0.3906,4930.17,EMPLOYED,76731,46,London,EC1A 1BB,Motor Vehicle,Used,17887.00,7619.86,0.9177,0.6470,Mercedes-Benz,A-Class,2022,28571,WVW960529424931,Petrol
AUTO-0014,OBL-AUTO-0014,2026-01-31,2024-06-28,2029-06-28,60,PCP,13316.50,10473.10,6.94,Fixed,1606.50,4337.33,210.22,Monthly,Vehicle Purchase,Direct,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A3,891,0.0173,0.3217,10473.10,SELF_EMPLOYED,44609,37,North West,M1 4WX,Motor Vehicle,Used,14923.00,10953.48,0.8923,0.9561,Kia,Sportage,2024,53287,WVW937857630660,Hybrid
AUTO-0015,OBL-AUTO-0015,2026-01-31,2021-09-28,2026-09-28,60,Lease Purchase,22275.90,2970.12,12.75,Fixed,1724.10,0.00,402.82,Monthly,Vehicle Purchase,Broker,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A3,861,0.0160,0.5220,2970.12,EMPLOYED,62235,50,South West,BS1 1AA,Motor Vehicle,New,24000.00,7200.00,0.9282,0.4125,Volkswagen,Golf,2021,197,WVW351201195425,Petrol
AUTO-0016,OBL-AUTO-0016,2026-01-31,2023-09-28,2027-09-28,48,HP,24280.89,10117.04,9.46,Fixed,3097.11,0.00,585.61,Monthly,Vehicle Purchase,Direct,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A2,786,0.0047,0.3076,10117.04,SELF_EMPLOYED,30642,58,South West,BS1 1AA,Motor Vehicle,Used,27378.00,16645.82,0.8869,0.6078,Tesla,Model 3,2023,23154,WVW871893599080,Electric
AUTO-0017,OBL-AUTO-0017,2026-01-31,2023-04-28,2026-04-28,36,PCP,18375.72,5920.43,13.53,Fixed,2517.28,4788.13,444.19,Monthly,Vehicle Purchase,Direct,GBP,Arrears,78,1154.89,,0.00,0.00,0.00,Stage 2,B3,632,0.1302,0.3314,5920.43,EMPLOYED,66049,41,Yorkshire,LS1 2AB,Motor Vehicle,Used,20893.00,11240.43,0.8795,0.5267,BMW,3 Series,2023,48714,WVW487550369174,Diesel
AUTO-0018,OBL-AUTO-0018,2026-01-31,2024-08-28,2029-08-28,60,Lease Purchase,12639.56,9058.35,15.14,Fixed,2861.44,0.00,324.95,Monthly,Vehicle Purchase,Direct,GBP,Defaulted,189,2047.18,2025-11-28,9058.35,3951.25,3038.73,Stage 3,E1,485,0.8180,0.4362,9058.35,EMPLOYED,36252,47,Yorkshire,LS1 2AB,Motor Vehicle,Used,15501.00,11811.76,0.8154,0.7669,Mercedes-Benz,A-Class,2024,27086,WVW281561170578,Petrol
AUTO-0019,OBL-AUTO-0019,2026-01-31,2024-12-28,2028-12-28,48,HP,34050.46,24828.46,13.69,Fixed,4949.54,0.00,992.64,Monthly,Vehicle Purchase,Online,GBP,Arrears,22,727.94,,0.00,0.00,0.00,Stage 1,A3,810,0.0200,0.4327,24828.46,RETIRED,29556,61,Wales,CF10 1AA,Motor Vehicle,New,39000.00,31902.00,0.8731,0.7783,Audi,A4,2024,58,WVW966332464677,Diesel
AUTO-0020,OBL-AUTO-0020,2026-01-31,2024-05-28,2029-05-28,60,HP,22922.69,15281.79,9.62,Fixed,3077.31,0.00,504.55,Monthly,Vehicle Purchase,Online,GBP,Arrears,21,353.19,,0.00,0.00,0.00,Stage 1,A1,856,0.0055,0.4669,15281.79,SELF_EMPLOYED,23139,23,South East,GU1 1AA,Motor Vehicle,New,26000.00,18720.00,0.8816,0.8163,Nissan,Qashqai,2024,38,WVW164047751803,Petrol
AUTO-0021,OBL-AUTO-0021,2026-01-31,2022-08-28,2027-08-28,60,HP,6713.17,2125.84,15.09,Fixed,1631.83,0.00,138.62,Monthly,Vehicle Purchase,Online,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,B1,859,0.0162,0.3374,2125.84,EMPLOYED,62882,24,South East,GU1 1AA,Motor Vehicle,Used,8345.00,3554.97,0.8045,0.5980,Vauxhall,Corsa,2022,40359,WVW348698472486,Petrol
AUTO-0022,OBL-AUTO-0022,2026-01-31,2025-10-28,2030-10-28,60,HP,41818.25,39727.34,12.30,Fixed,3181.75,0.00,1104.18,Monthly,Vehicle Purchase,Dealer,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,B2,780,0.0071,0.3218,39727.34,EMPLOYED,49117,49,Wales,CF10 1AA,Motor Vehicle,New,45000.00,43110.00,0.9293,0.9215,Tesla,Model 3,2025,159,WVW383926028700,Electric
AUTO-0023,OBL-AUTO-0023,2026-01-31,2025-09-28,2029-09-28,48,HP,25543.83,23415.18,14.64,Fixed,1456.17,0.00,817.83,Monthly,Vehicle Purchase,Broker,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,A3,785,0.0070,0.3522,23415.18,EMPLOYED,71737,40,London,EC1A 1BB,Motor Vehicle,New,27000.00,25488.00,0.9461,0.9187,Toyota,Corolla,2025,8,WVW967299096919,Hybrid
AUTO-0024,OBL-AUTO-0024,2026-01-31,2025-04-28,2029-04-28,48,HP,9297.71,7554.39,11.69,Fixed,2059.29,0.00,267.29,Monthly,Vehicle Purchase,Online,GBP,Performing,0,0.00,,0.00,0.00,0.00,Stage 1,B1,886,0.0168,0.4636,7554.39,SELF_EMPLOYED,26396,60,Wales,CF10 1AA,Motor Vehicle,Used,11357.00,9926.02,0.8187,0.7611,Volkswagen,Golf,2025,71817,WVW336312532940,Petrol
AUTO-0025,OBL-AUTO-0025,2026-01-31,2024-07-28,2028-07-28,48,HP,10458.22,6536.39,14.59,Fixed,1407.78,0.00,297.35,Monthly,Vehicle Purchase,Dealer,GBP,Arrears,2,19.82,,0.00,0.00,0.00,Stage 1,A3,809,0.0218,0.5324,6536.39,PART_TIME,31641,25,Wales,CF10 1AA,Motor Vehicle,Used,11866.00,8875.77,0.8814,0.7364,Nissan,Qashqai,2024,55403,WVW979580760892,Petrol
AUTO-0026,OBL-AUTO-0026,2026-01-31,2025-04-28,2029-04-28,48,HP,19460.04,15811.28,12.42,Fixed,1539.96,0.00,569.06,Monthly,Vehicle Purchase,Dealer,GBP,Arrears,2,37.94,,0.00,0.00,0.00,Stage 1,B2,815,0.0241,0.4720,15811.28,EMPLOYED,49321,45,Wales,CF10 1AA,Motor Vehicle,New,21000.00,18354.00,0.9267,0.8615,Ford,Focus,2025,15,WVW859652514283,Petrol
