account_status,allocated_losses,amortisation_type,arrears_balance,borrower_identifier,collateral_currency,collateral_type,credit_impaired_obligor,cumulative_recoveries,current_interest_rate,current_interest_rate_index,current_interest_rate_index_tenor,current_interest_rate_margin,current_loan_to_value,current_principal_balance,current_valuation_amount,current_valuation_date,current_valuation_method,data_cut_off_date,date_of_repurchase,default_amount,default_date,deposit_amount,employment_status,exposure_currency_denomination,geographic_region_classification,geographic_region_obligor,interest_rate_cap,interest_rate_floor,interest_rate_reset_interval,interest_rate_type,litigation,loan_identifier,maturity_date,new_collateral_identifier,new_obligor_identifier,new_underlying_exposure_identifier,number_of_days_in_arrears,occupancy_type,original_collateral_identifier,original_loan_to_value,original_obligor_identifier,original_principal_balance,original_underlying_exposure_identifier,origination_channel,origination_date,originator_legal_entity_identifier,originator_name,payment_due,pool_addition_date,prepayment_fee,principal_grace_period_end_date,property_post_code,property_type,purchase_price,purpose,redemption_date,resident,scheduled_interest_payment_frequency,scheduled_principal_payment_frequency,total_credit_limit,underlying_exposure_identifier,unique_identifier,youngest_borrower_age,originator_establishment_country,customer_type
Active,0,Interest roll-up,0,,GBP,manual,0,0,6.577,SONIA,1M,0,0.4701,184170.38,423000,,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,London,London,15,0,12,FIXED ,0,DEMO-0011,28/03/2042,DEMO-0011-COLL-N,OBL-0011,DEMO-0011-N,0,Owner Occupied,DEMO-0011-COLL-O,0.4353,OBO-0011,184131.90,DEMO-0011,Broker,28/03/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,SW1A 1AA,Semi Detached,423000,Home improvements,,1,Monthly,Quarterly,193338.49,DEMO-0011,SYN-UID-0011,82,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,5.996,SONIA,1M,0,0.2789,99934.01,327000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,London,London,15,0,12,Variable rate,0,DEMO-0012,11/04/2042,DEMO-0012-COLL-N,OBL-0012,DEMO-0012-N,0,Owner Occupied,DEMO-0012-COLL-O,0.2863,OBO-0012,93620.10,DEMO-0012,Direct,11/04/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,SW1A 1AA,semi-detached house,327000,Refinance ,,1,Monthly,Quarterly,98301.11,DEMO-0012,SYN-UID-0012,74,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,6.021,SONIA,1M,0,0.5273,157116.28,284000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,South East,South East,15,0,12,Fixed,0,DEMO-0013,16/02/2043,DEMO-0013-COLL-N,OBL-0013,DEMO-0013-N,0,Owner Occupied,DEMO-0013-COLL-O,0.5252,OBO-0013,149156.80,DEMO-0013,Broker,16/02/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,RG1 2DP,Flat / Apartment,284000,Equity release,,1,Monthly,Quarterly,156614.64,DEMO-0013,SYN-UID-0013,63,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,7.221,SONIA,1M,0,0.5095,87069.68,168000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East of England,East of England,15,0,12,variable,0,DEMO-0014,13/03/2043,DEMO-0014-COLL-N,OBL-0014,DEMO-0014-N,0,Owner Occupied,DEMO-0014-COLL-O,0.4868,OBO-0014,81782.40,DEMO-0014,IFA,13/03/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,CB2 1TN,flat,168000,Debt Consolidation,,1,Monthly,Quarterly,85871.52,DEMO-0014,SYN-UID-0014,80,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,7.923,SONIA,1M,0,0.488,87602.90,173000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East of England,East of England,15,0,12,FIXED ,0,DEMO-0015,15/12/2042,DEMO-0015-COLL-N,OBL-0015,DEMO-0015-N,0,Owner Occupied,DEMO-0015-COLL-O,0.5018,OBO-0015,86811.40,DEMO-0015,Direct,15/12/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,CB2 1TN,Bungalow,173000,Purchase Main Residence,,1,Monthly,Quarterly,91151.97,DEMO-0015,SYN-UID-0015,78,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,6.067,SONIA,1M,0,0.3246,62140.19,199000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,Variable rate,0,DEMO-0016,15/11/2043,DEMO-0016-COLL-N,OBL-0016,DEMO-0016-N,0,Owner Occupied,DEMO-0016-COLL-O,0.2995,OBO-0016,59600.50,DEMO-0016,IFA,15/11/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,LS1 4AP,HOUSE,199000,Home improvements,,1,Monthly,Quarterly,62580.53,DEMO-0016,SYN-UID-0016,62,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.611,SONIA,1M,0,0.3766,167812.69,478000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East of England,East of England,15,0,12,Fixed,0,DEMO-0017,25/07/2043,DEMO-0017-COLL-N,OBL-0017,DEMO-0017-N,0,Owner Occupied,DEMO-0017-COLL-O,0.3521,OBO-0017,168303.80,DEMO-0017,IFA,25/07/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,CB2 1TN,Detached House,478000,Refinance ,,1,Monthly,Quarterly,176718.99,DEMO-0017,SYN-UID-0017,74,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,6.934,SONIA,1M,0,0.3329,71157.63,228000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,South East,South East,15,0,12,variable,0,DEMO-0018,22/06/2042,DEMO-0018-COLL-N,OBL-0018,DEMO-0018-N,0,Owner Occupied,DEMO-0018-COLL-O,0.3037,OBO-0018,69243.60,DEMO-0018,IFA,22/06/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,RG1 2DP,detached,228000,Equity release,,1,Monthly,Quarterly,72705.78,DEMO-0018,SYN-UID-0018,81,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,7.373,SONIA,1M,0,0.5245,190655.95,398000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,FIXED ,0,DEMO-0019,14/04/2042,DEMO-0019-COLL-N,OBL-0019,DEMO-0019-N,0,Owner Occupied,DEMO-0019-COLL-O,0.494,OBO-0019,196612.00,DEMO-0019,IFA,14/04/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,LS1 4AP,Semi Detached,398000,Debt Consolidation,,1,Monthly,Quarterly,206442.60,DEMO-0019,SYN-UID-0019,80,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.555,SONIA,1M,0,0.4728,273558.51,530000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,Variable rate,0,DEMO-0020,12/04/2042,DEMO-0020-COLL-N,OBL-0020,DEMO-0020-N,0,Owner Occupied,DEMO-0020-COLL-O,0.4762,OBO-0020,252386.00,DEMO-0020,IFA,12/04/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,NG1 5FS,semi-detached house,530000,Purchase Main Residence,,1,Monthly,Quarterly,265005.30,DEMO-0020,SYN-UID-0020,82,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.313,SONIA,1M,0,0.2708,117957.75,421000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Wales,Wales,15,0,12,Fixed,0,DEMO-0021,20/05/2043,DEMO-0021-COLL-N,OBL-0021,DEMO-0021-N,0,Owner Occupied,DEMO-0021-COLL-O,0.2849,OBO-0021,119942.90,DEMO-0021,IFA,20/05/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,CF10 1EP,Flat / Apartment,421000,Home improvements,,1,Monthly,Quarterly,125940.04,DEMO-0021,SYN-UID-0021,64,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,9.0,SONIA,1M,0,0.5521,259948.84,514000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Scotland,Scotland,15,0,12,variable,0,DEMO-0022,06/08/2042,DEMO-0022-COLL-N,OBL-0022,DEMO-0022-N,0,Owner Occupied,DEMO-0022-COLL-O,0.5131,OBO-0022,263733.40,DEMO-0022,IFA,06/08/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,EH1 1YZ,flat,514000,Refinance ,,1,Monthly,Quarterly,276920.07,DEMO-0022,SYN-UID-0022,71,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,9.115,SONIA,1M,0,0.3934,95593.07,238000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,FIXED ,0,DEMO-0023,20/11/2042,DEMO-0023-COLL-N,OBL-0023,DEMO-0023-N,0,Owner Occupied,DEMO-0023-COLL-O,0.3958,OBO-0023,94200.40,DEMO-0023,IFA,20/11/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,LS1 4AP,Bungalow,238000,Equity release,,1,Monthly,Quarterly,98910.42,DEMO-0023,SYN-UID-0023,76,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,9.135,SONIA,1M,0,0.2488,93101.90,355000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,North West,North West,15,0,12,Variable rate,0,DEMO-0024,19/03/2042,DEMO-0024-COLL-N,OBL-0024,DEMO-0024-N,0,Owner Occupied,DEMO-0024-COLL-O,0.2602,OBO-0024,92371.00,DEMO-0024,IFA,19/03/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,M1 1AE,HOUSE,355000,Debt Consolidation,,1,Monthly,Quarterly,96989.55,DEMO-0024,SYN-UID-0024,63,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,7.033,SONIA,1M,0,0.3316,206306.48,560000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,Fixed,0,DEMO-0025,09/12/2042,DEMO-0025-COLL-N,OBL-0025,DEMO-0025-N,0,Owner Occupied,DEMO-0025-COLL-O,0.3434,OBO-0025,192304.00,DEMO-0025,Broker,09/12/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,LS1 4AP,Detached House,560000,Purchase Main Residence,,1,Monthly,Quarterly,201919.20,DEMO-0025,SYN-UID-0025,77,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.106,SONIA,1M,0,0.4712,100764.43,200000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,North West,North West,15,0,12,variable,0,DEMO-0026,21/12/2042,DEMO-0026-COLL-N,OBL-0026,DEMO-0026-N,0,Owner Occupied,DEMO-0026-COLL-O,0.4793,OBO-0026,95860.00,DEMO-0026,IFA,21/12/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,M1 1AE,detached,200000,Home improvements,,1,Monthly,Quarterly,100653.00,DEMO-0026,SYN-UID-0026,82,GB,CNEO
Redeemed,0,Interest roll-up,0,,GBP,manual,0,0,6.364,SONIA,1M,0,0.3871,136918.45,384000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,South East,South East,15,0,12,FIXED ,0,DEMO-0027,09/04/2042,DEMO-0027-COLL-N,OBL-0027,DEMO-0027-N,15,Owner Occupied,DEMO-0027-COLL-O,0.3653,OBO-0027,140275.20,DEMO-0027,Direct,09/04/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,RG1 2DP,Semi Detached,384000,Refinance ,15/01/2026,1,Monthly,Quarterly,147288.96,DEMO-0027,SYN-UID-0027,85,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,7.035,SONIA,1M,0,0.5033,88427.03,193000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,Variable rate,0,DEMO-0028,23/11/2042,DEMO-0028-COLL-N,OBL-0028,DEMO-0028-N,0,Owner Occupied,DEMO-0028-COLL-O,0.4786,OBO-0028,92369.80,DEMO-0028,Broker,23/11/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,NG1 5FS,semi-detached house,193000,Equity release,,1,Monthly,Quarterly,96988.29,DEMO-0028,SYN-UID-0028,82,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.724,SONIA,1M,0,0.4799,241482.79,554000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East of England,East of England,15,0,12,Fixed,0,DEMO-0029,07/07/2043,DEMO-0029-COLL-N,OBL-0029,DEMO-0029-N,0,Owner Occupied,DEMO-0029-COLL-O,0.4522,OBO-0029,250518.80,DEMO-0029,Direct,07/07/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,CB2 1TN,Flat / Apartment,554000,Debt Consolidation,,1,Monthly,Quarterly,263044.74,DEMO-0029,SYN-UID-0029,82,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,5.866,SONIA,1M,0,0.308,50436.06,193000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,West Midlands,West Midlands,15,0,12,variable,0,DEMO-0030,04/05/2043,DEMO-0030-COLL-N,OBL-0030,DEMO-0030-N,0,Owner Occupied,DEMO-0030-COLL-O,0.27,OBO-0030,52110.00,DEMO-0030,IFA,04/05/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,B1 1AA,flat,193000,Purchase Main Residence,,1,Monthly,Quarterly,54715.50,DEMO-0030,SYN-UID-0030,71,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.917,SONIA,1M,0,0.4822,110033.50,242000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,FIXED ,0,DEMO-0031,20/06/2043,DEMO-0031-COLL-N,OBL-0031,DEMO-0031-N,0,Owner Occupied,DEMO-0031-COLL-O,0.4443,OBO-0031,107520.60,DEMO-0031,Direct,20/06/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,NG1 5FS,Bungalow,242000,Home improvements,,1,Monthly,Quarterly,112896.63,DEMO-0031,SYN-UID-0031,74,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,6.432,SONIA,1M,0,0.5119,176618.72,324000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East of England,East of England,15,0,12,Variable rate,0,DEMO-0032,03/06/2043,DEMO-0032-COLL-N,OBL-0032,DEMO-0032-N,0,Owner Occupied,DEMO-0032-COLL-O,0.5062,OBO-0032,164008.80,DEMO-0032,IFA,03/06/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,CB2 1TN,HOUSE,324000,Refinance ,,1,Monthly,Quarterly,172209.24,DEMO-0032,SYN-UID-0032,81,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,5.836,SONIA,1M,0,0.4134,190238.83,446000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,South East,South East,15,0,12,Fixed,0,DEMO-0033,26/05/2043,DEMO-0033-COLL-N,OBL-0033,DEMO-0033-N,0,Owner Occupied,DEMO-0033-COLL-O,0.4121,OBO-0033,183796.60,DEMO-0033,Broker,26/05/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,RG1 2DP,Detached House,446000,Equity release,,1,Monthly,Quarterly,192986.43,DEMO-0033,SYN-UID-0033,76,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.972,SONIA,1M,0,0.3837,128197.22,321000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,Scotland,Scotland,15,0,12,variable,0,DEMO-0034,20/04/2043,DEMO-0034-COLL-N,OBL-0034,DEMO-0034-N,0,Owner Occupied,DEMO-0034-COLL-O,0.3643,OBO-0034,116940.30,DEMO-0034,IFA,20/04/2025,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,EH1 1YZ,detached,321000,Debt Consolidation,,1,Monthly,Quarterly,122787.32,DEMO-0034,SYN-UID-0034,75,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,8.01,SONIA,1M,0,0.3382,188979.20,521000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,London,London,15,0,12,FIXED ,0,DEMO-0035,18/09/2042,DEMO-0035-COLL-N,OBL-0035,DEMO-0035-N,0,Owner Occupied,DEMO-0035-COLL-O,0.3379,OBO-0035,176045.90,DEMO-0035,Broker,18/09/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,SW1A 1AA,Semi Detached,521000,Purchase Main Residence,,1,Monthly,Quarterly,184848.20,DEMO-0035,SYN-UID-0035,62,GB,CNEO
Active,0,Interest roll-up,0,,GBP,manual,0,0,7.245,SONIA,1M,0,0.319,187784.17,577000,31/01/2026,Full survey,31/01/2026,31/01/2025,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,Variable rate,0,DEMO-0036,27/11/2042,DEMO-0036-COLL-N,OBL-0036,DEMO-0036-N,0,Owner Occupied,DEMO-0036-COLL-O,0.3199,OBO-0036,184582.30,DEMO-0036,Broker,27/11/2024,213800ABCDE123456701N202501,ERE Funding Limited,0,31/01/2025,0,31/12/2025,NG1 5FS,semi-detached house,577000,Home improvements,,1,Monthly,Quarterly,193811.42,DEMO-0036,SYN-UID-0036,83,GB,CNEO
