RREL69,RREL73,RREL67,RREC22,RREC5,RREL14,RREL74,RREL43,RREL44,RREL45,RREL46,RREL30,RREL6,RREL8,RREL71,RREL72,RREL77,RREL28,RREL48,RREL49,RREL47,RREL42,RREL75,RREL24,RREC4,RREL5,RREL3,RREL68,RREC3,RREL4,RREL2,RREL84,RREL83,RREL82,RREL39,RREL7,RREL61,RREL36,RREC9,RREL34,RREL9,RREC21,RREL38,RREL37,RREL33,RREC2,RREL1,RREL35,RREL41,RREL64,RREC12,RREC13,RREC15,RREC14,RREL15,RREL66,RREL65,RREC20,RREL40,RREL13,RREC11,RREC10,RREL12,RREC6,RREL11,RREC23,RREL78,RREL51,RREL53,RREL55,RREC8,RREL58,RREC7,RREL81,RREL80,RREL79,RREC16,RREL29,RREL25,RREC17,RREC19,RREC18,RREL26,RREL23,RREL32,RREL59,RREL63,RREL62,RREL60,RREL16,RREL18,RREL17,RREL19,RREL31,RREL27,RREL70,RREL76,RREL10,RREL56,RREL57,RREL50,RREL52,RREL54,RREL22
Active,0,0,GBP,manual,N,0,6.577,SONIA,1M,0,184170.38,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-03-28,DEMO-0011-COLL-N,OBL-0011,DEMO-0011-N,0,DEMO-0011-COLL-O,OBO-0011,DEMO-0011,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,423000,,,Monthly,Quarterly,193338.49,DEMO-0011,SYNTH2026POOL01,Interest roll-up,,,43.53909692671395,423000,,Full survey,,,,,,manual,,,London,,London,,,,,,,,Owner Occupied,,,,0.4353,184131.9,,,,,Broker,2024-03-28,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,5.996,SONIA,1M,0,99934.01,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-04-11,DEMO-0012-COLL-N,OBL-0012,DEMO-0012-N,0,DEMO-0012-COLL-O,OBO-0012,DEMO-0012,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,327000,,,Monthly,Quarterly,98301.11,DEMO-0012,SYNTH2026POOL01,Interest roll-up,,,30.56085932721712,327000,2026-01-31,Full survey,,,,,,manual,,,London,,London,,,,,,,,Owner Occupied,,,,0.2863,93620.1,,,,,Direct,2024-04-11,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,6.021,SONIA,1M,0,157116.28,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-02-16,DEMO-0013-COLL-N,OBL-0013,DEMO-0013-N,0,DEMO-0013-COLL-O,OBO-0013,DEMO-0013,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,284000,,,Monthly,Quarterly,156614.64,DEMO-0013,SYNTH2026POOL01,Interest roll-up,,,55.3226338028169,284000,2026-01-31,Full survey,,,,,,manual,,,South East,,South East,,,,,,,,Owner Occupied,,,,0.5252,149156.8,,,,,Broker,2025-02-16,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,7.221,SONIA,1M,0,87069.68,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-03-13,DEMO-0014-COLL-N,OBL-0014,DEMO-0014-N,0,DEMO-0014-COLL-O,OBO-0014,DEMO-0014,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,168000,,,Monthly,Quarterly,85871.52,DEMO-0014,SYNTH2026POOL01,Interest roll-up,,,51.82719047619048,168000,2026-01-31,Full survey,,,,,,manual,,,East of England,,East of England,,,,,,,,Owner Occupied,,,,0.4868,81782.4,,,,,IFA,2025-03-13,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,7.923,SONIA,1M,0,87602.9,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-12-15,DEMO-0015-COLL-N,OBL-0015,DEMO-0015-N,0,DEMO-0015-COLL-O,OBO-0015,DEMO-0015,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,173000,,,Monthly,Quarterly,91151.97,DEMO-0015,SYNTH2026POOL01,Interest roll-up,,,50.63751445086705,173000,2026-01-31,Full survey,,,,,,manual,,,East of England,,East of England,,,,,,,,Owner Occupied,,,,0.5018,86811.4,,,,,Direct,2024-12-15,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,6.067,SONIA,1M,0,62140.19,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-11-15,DEMO-0016-COLL-N,OBL-0016,DEMO-0016-N,0,DEMO-0016-COLL-O,OBO-0016,DEMO-0016,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,199000,,,Monthly,Quarterly,62580.53,DEMO-0016,SYNTH2026POOL01,Interest roll-up,,,31.226226130653263,199000,2026-01-31,Full survey,,,,,,manual,,,Yorkshire and The Humber,,Yorkshire and The Humber,,,,,,,,Owner Occupied,,,,0.2995,59600.5,,,,,IFA,2025-11-15,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.611,SONIA,1M,0,167812.69,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-07-25,DEMO-0017-COLL-N,OBL-0017,DEMO-0017-N,0,DEMO-0017-COLL-O,OBO-0017,DEMO-0017,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,478000,,,Monthly,Quarterly,176718.99,DEMO-0017,SYNTH2026POOL01,Interest roll-up,,,35.107257322175734,478000,2026-01-31,Full survey,,,,,,manual,,,East of England,,East of England,,,,,,,,Owner Occupied,,,,0.3521,168303.8,,,,,IFA,2025-07-25,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,6.934,SONIA,1M,0,71157.63,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-06-22,DEMO-0018-COLL-N,OBL-0018,DEMO-0018-N,0,DEMO-0018-COLL-O,OBO-0018,DEMO-0018,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,228000,,,Monthly,Quarterly,72705.78,DEMO-0018,SYNTH2026POOL01,Interest roll-up,,,31.209486842105267,228000,2026-01-31,Full survey,,,,,,manual,,,South East,,South East,,,,,,,,Owner Occupied,,,,0.3037,69243.6,,,,,IFA,2024-06-22,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,7.373,SONIA,1M,0,190655.95,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-04-14,DEMO-0019-COLL-N,OBL-0019,DEMO-0019-N,0,DEMO-0019-COLL-O,OBO-0019,DEMO-0019,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,398000,,,Monthly,Quarterly,206442.6,DEMO-0019,SYNTH2026POOL01,Interest roll-up,,,47.90350502512563,398000,2026-01-31,Full survey,,,,,,manual,,,Yorkshire and The Humber,,Yorkshire and The Humber,,,,,,,,Owner Occupied,,,,0.494,196612.0,,,,,IFA,2024-04-14,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.555,SONIA,1M,0,273558.51,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-04-12,DEMO-0020-COLL-N,OBL-0020,DEMO-0020-N,0,DEMO-0020-COLL-O,OBO-0020,DEMO-0020,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,530000,,,Monthly,Quarterly,265005.3,DEMO-0020,SYNTH2026POOL01,Interest roll-up,,,51.61481320754717,530000,2026-01-31,Full survey,,,,,,manual,,,East Midlands,,East Midlands,,,,,,,,Owner Occupied,,,,0.4762,252386.0,,,,,IFA,2024-04-12,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.313,SONIA,1M,0,117957.75,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-05-20,DEMO-0021-COLL-N,OBL-0021,DEMO-0021-N,0,DEMO-0021-COLL-O,OBO-0021,DEMO-0021,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,421000,,,Monthly,Quarterly,125940.04,DEMO-0021,SYNTH2026POOL01,Interest roll-up,,,28.018467933491685,421000,2026-01-31,Full survey,,,,,,manual,,,Wales,,Wales,,,,,,,,Owner Occupied,,,,0.2849,119942.9,,,,,IFA,2025-05-20,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,9.0,SONIA,1M,0,259948.84,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-08-06,DEMO-0022-COLL-N,OBL-0022,DEMO-0022-N,0,DEMO-0022-COLL-O,OBO-0022,DEMO-0022,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,514000,,,Monthly,Quarterly,276920.07,DEMO-0022,SYNTH2026POOL01,Interest roll-up,,,50.57370428015564,514000,2026-01-31,Full survey,,,,,,manual,,,Scotland,,Scotland,,,,,,,,Owner Occupied,,,,0.5131,263733.4,,,,,IFA,2024-08-06,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,9.115,SONIA,1M,0,95593.07,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-11-20,DEMO-0023-COLL-N,OBL-0023,DEMO-0023-N,0,DEMO-0023-COLL-O,OBO-0023,DEMO-0023,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,238000,,,Monthly,Quarterly,98910.42,DEMO-0023,SYNTH2026POOL01,Interest roll-up,,,40.16515546218488,238000,2026-01-31,Full survey,,,,,,manual,,,Yorkshire and The Humber,,Yorkshire and The Humber,,,,,,,,Owner Occupied,,,,0.3958,94200.4,,,,,IFA,2024-11-20,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,9.135,SONIA,1M,0,93101.9,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-03-19,DEMO-0024-COLL-N,OBL-0024,DEMO-0024-N,0,DEMO-0024-COLL-O,OBO-0024,DEMO-0024,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,355000,,,Monthly,Quarterly,96989.55,DEMO-0024,SYNTH2026POOL01,Interest roll-up,,,26.22588732394366,355000,2026-01-31,Full survey,,,,,,manual,,,North West,,North West,,,,,,,,Owner Occupied,,,,0.2602,92371.0,,,,,IFA,2024-03-19,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,7.033,SONIA,1M,0,206306.48,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-12-09,DEMO-0025-COLL-N,OBL-0025,DEMO-0025-N,0,DEMO-0025-COLL-O,OBO-0025,DEMO-0025,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,560000,,,Monthly,Quarterly,201919.2,DEMO-0025,SYNTH2026POOL01,Interest roll-up,,,36.84044285714286,560000,2026-01-31,Full survey,,,,,,manual,,,Yorkshire and The Humber,,Yorkshire and The Humber,,,,,,,,Owner Occupied,,,,0.3434,192304.0,,,,,Broker,2024-12-09,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.106,SONIA,1M,0,100764.43,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-12-21,DEMO-0026-COLL-N,OBL-0026,DEMO-0026-N,0,DEMO-0026-COLL-O,OBO-0026,DEMO-0026,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,200000,,,Monthly,Quarterly,100653.0,DEMO-0026,SYNTH2026POOL01,Interest roll-up,,,50.382215,200000,2026-01-31,Full survey,,,,,,manual,,,North West,,North West,,,,,,,,Owner Occupied,,,,0.4793,95860.0,,,,,IFA,2024-12-21,,,,,,,,,,,manual,,,Y,,,,,,
Redeemed,0,0,GBP,manual,N,0,6.364,SONIA,1M,0,136918.45,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-04-09,DEMO-0027-COLL-N,OBL-0027,DEMO-0027-N,15,DEMO-0027-COLL-O,OBO-0027,DEMO-0027,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,384000,2026-01-15,,Monthly,Quarterly,147288.96,DEMO-0027,SYNTH2026POOL01,Interest roll-up,,,35.65584635416667,384000,2026-01-31,Full survey,,,,,,manual,,,South East,,South East,,,,,,,,Owner Occupied,,,,0.3653,140275.2,,,,,Direct,2024-04-09,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,7.035,SONIA,1M,0,88427.03,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-11-23,DEMO-0028-COLL-N,OBL-0028,DEMO-0028-N,0,DEMO-0028-COLL-O,OBO-0028,DEMO-0028,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,193000,,,Monthly,Quarterly,96988.29,DEMO-0028,SYNTH2026POOL01,Interest roll-up,,,45.817113989637306,193000,2026-01-31,Full survey,,,,,,manual,,,East Midlands,,East Midlands,,,,,,,,Owner Occupied,,,,0.4786,92369.8,,,,,Broker,2024-11-23,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.724,SONIA,1M,0,241482.79,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-07-07,DEMO-0029-COLL-N,OBL-0029,DEMO-0029-N,0,DEMO-0029-COLL-O,OBO-0029,DEMO-0029,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,554000,,,Monthly,Quarterly,263044.74,DEMO-0029,SYNTH2026POOL01,Interest roll-up,,,43.58895126353791,554000,2026-01-31,Full survey,,,,,,manual,,,East of England,,East of England,,,,,,,,Owner Occupied,,,,0.4522,250518.8,,,,,Direct,2025-07-07,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,5.866,SONIA,1M,0,50436.06,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-05-04,DEMO-0030-COLL-N,OBL-0030,DEMO-0030-N,0,DEMO-0030-COLL-O,OBO-0030,DEMO-0030,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,193000,,,Monthly,Quarterly,54715.5,DEMO-0030,SYNTH2026POOL01,Interest roll-up,,,26.13267357512953,193000,2026-01-31,Full survey,,,,,,manual,,,West Midlands,,West Midlands,,,,,,,,Owner Occupied,,,,0.27,52110.0,,,,,IFA,2025-05-04,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.917,SONIA,1M,0,110033.5,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-06-20,DEMO-0031-COLL-N,OBL-0031,DEMO-0031-N,0,DEMO-0031-COLL-O,OBO-0031,DEMO-0031,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,242000,,,Monthly,Quarterly,112896.63,DEMO-0031,SYNTH2026POOL01,Interest roll-up,,,45.46838842975207,242000,2026-01-31,Full survey,,,,,,manual,,,East Midlands,,East Midlands,,,,,,,,Owner Occupied,,,,0.4443,107520.6,,,,,Direct,2025-06-20,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,6.432,SONIA,1M,0,176618.72,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-06-03,DEMO-0032-COLL-N,OBL-0032,DEMO-0032-N,0,DEMO-0032-COLL-O,OBO-0032,DEMO-0032,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,324000,,,Monthly,Quarterly,172209.24,DEMO-0032,SYNTH2026POOL01,Interest roll-up,,,54.51195061728396,324000,2026-01-31,Full survey,,,,,,manual,,,East of England,,East of England,,,,,,,,Owner Occupied,,,,0.5062,164008.8,,,,,IFA,2025-06-03,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,5.836,SONIA,1M,0,190238.83,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-05-26,DEMO-0033-COLL-N,OBL-0033,DEMO-0033-N,0,DEMO-0033-COLL-O,OBO-0033,DEMO-0033,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,446000,,,Monthly,Quarterly,192986.43,DEMO-0033,SYNTH2026POOL01,Interest roll-up,,,42.654446188340806,446000,2026-01-31,Full survey,,,,,,manual,,,South East,,South East,,,,,,,,Owner Occupied,,,,0.4121,183796.6,,,,,Broker,2025-05-26,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.972,SONIA,1M,0,128197.22,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2043-04-20,DEMO-0034-COLL-N,OBL-0034,DEMO-0034-N,0,DEMO-0034-COLL-O,OBO-0034,DEMO-0034,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,321000,,,Monthly,Quarterly,122787.32,DEMO-0034,SYNTH2026POOL01,Interest roll-up,,,39.93682866043613,321000,2026-01-31,Full survey,,,,,,manual,,,Scotland,,Scotland,,,,,,,,Owner Occupied,,,,0.3643,116940.3,,,,,IFA,2025-04-20,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,8.01,SONIA,1M,0,188979.2,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-09-18,DEMO-0035-COLL-N,OBL-0035,DEMO-0035-N,0,DEMO-0035-COLL-O,OBO-0035,DEMO-0035,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,521000,,,Monthly,Quarterly,184848.2,DEMO-0035,SYNTH2026POOL01,Interest roll-up,,,36.27239923224568,521000,2026-01-31,Full survey,,,,,,manual,,,London,,London,,,,,,,,Owner Occupied,,,,0.3379,176045.9,,,,,Broker,2024-09-18,,,,,,,,,,,manual,,,Y,,,,,,
Active,0,0,GBP,manual,N,0,7.245,SONIA,1M,0,187784.17,2026-01-31,2025-01-31,0,,0,GBP,15,0,12,manual,N,2042-11-27,DEMO-0036-COLL-N,OBL-0036,DEMO-0036-N,0,DEMO-0036-COLL-O,OBO-0036,DEMO-0036,GB,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,0,2025-12-31,manual,577000,,,Monthly,Quarterly,193811.42,DEMO-0036,SYNTH2026POOL01,Interest roll-up,,,32.54491681109186,577000,2026-01-31,Full survey,,,,,,manual,,,East Midlands,,East Midlands,,,,,,,,Owner Occupied,,,,0.3199,184582.3,,,,,Broker,2024-11-27,,,,,,,,,,,manual,,,Y,,,,,,
