account_status,allocated_losses,amortisation_type,arrears_balance,borrower_identifier,collateral_currency,collateral_type,credit_impaired_obligor,cumulative_recoveries,current_interest_rate,current_interest_rate_index,current_interest_rate_index_tenor,current_interest_rate_margin,current_loan_to_value,current_principal_balance,current_valuation_amount,current_valuation_date,current_valuation_method,data_cut_off_date,date_of_repurchase,default_amount,default_date,deposit_amount,employment_status,exposure_currency_denomination,geographic_region_classification,geographic_region_obligor,interest_rate_cap,interest_rate_floor,interest_rate_reset_interval,interest_rate_type,litigation,loan_identifier,maturity_date,new_collateral_identifier,new_obligor_identifier,new_underlying_exposure_identifier,number_of_days_in_arrears,occupancy_type,original_collateral_identifier,original_loan_to_value,original_obligor_identifier,original_principal_balance,original_underlying_exposure_identifier,origination_channel,origination_date,originator_legal_entity_identifier,originator_name,payment_due,pool_addition_date,postcode,prepayment_fee,principal_grace_period_end_date,property_type,purchase_price,purpose,redemption_date,resident,scheduled_interest_payment_frequency,scheduled_principal_payment_frequency,total_credit_limit,underlying_exposure_identifier,unique_identifier,youngest_borrower_age,originator_establishment_country,customer_type,current_outstanding_balance,accrued_interest,geographic_region_classification_source
Active,0,Interest roll-up,0,,GBP,manual,N,0,5.996,SONIA,1M,0,30.56085932721712,99934.01,327000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,London,London,15,0,12,Variable rate,N,DEMO-0012,2042-04-11,DEMO-0012-COLL-N,OBL-0012,DEMO-0012-N,0,Owner Occupied,DEMO-0012-COLL-O,0.2863,OBO-0012,93620.1,DEMO-0012,Direct,2024-04-11,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,SW1A 1AA,0,2025-12-31,semi-detached house,327000,Refinance,,Y,Monthly,Quarterly,98301.11,DEMO-0012,SYN-UID-0012,74,GB,CNEO,99934.01,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,6.021,SONIA,1M,0,55.3226338028169,157116.28,284000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,South East,South East,15,0,12,Fixed,N,DEMO-0013,2043-02-16,DEMO-0013-COLL-N,OBL-0013,DEMO-0013-N,0,Owner Occupied,DEMO-0013-COLL-O,0.5252,OBO-0013,149156.8,DEMO-0013,Broker,2025-02-16,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,RG1 2DP,0,2025-12-31,Flat / Apartment,284000,Equity release,,Y,Monthly,Quarterly,156614.64,DEMO-0013,SYN-UID-0013,63,GB,CNEO,157116.28,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,7.221,SONIA,1M,0,51.827190476190474,87069.68,168000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East of England,East of England,15,0,12,variable,N,DEMO-0014,2043-03-13,DEMO-0014-COLL-N,OBL-0014,DEMO-0014-N,0,Owner Occupied,DEMO-0014-COLL-O,0.4868,OBO-0014,81782.4,DEMO-0014,IFA,2025-03-13,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,CB2 1TN,0,2025-12-31,flat,168000,Debt Consolidation,,Y,Monthly,Quarterly,85871.52,DEMO-0014,SYN-UID-0014,80,GB,CNEO,87069.68,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,7.923,SONIA,1M,0,50.63751445086705,87602.9,173000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East of England,East of England,15,0,12,FIXED,N,DEMO-0015,2042-12-15,DEMO-0015-COLL-N,OBL-0015,DEMO-0015-N,0,Owner Occupied,DEMO-0015-COLL-O,0.5018,OBO-0015,86811.4,DEMO-0015,Direct,2024-12-15,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,CB2 1TN,0,2025-12-31,Bungalow,173000,Purchase Main Residence,,Y,Monthly,Quarterly,91151.97,DEMO-0015,SYN-UID-0015,78,GB,CNEO,87602.9,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,6.067,SONIA,1M,0,31.226226130653266,62140.19,199000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,Variable rate,N,DEMO-0016,2043-11-15,DEMO-0016-COLL-N,OBL-0016,DEMO-0016-N,0,Owner Occupied,DEMO-0016-COLL-O,0.2995,OBO-0016,59600.5,DEMO-0016,IFA,2025-11-15,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,LS1 4AP,0,2025-12-31,HOUSE,199000,Home improvements,,Y,Monthly,Quarterly,62580.53,DEMO-0016,SYN-UID-0016,62,GB,CNEO,62140.19,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.611,SONIA,1M,0,35.107257322175734,167812.69,478000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East of England,East of England,15,0,12,Fixed,N,DEMO-0017,2043-07-25,DEMO-0017-COLL-N,OBL-0017,DEMO-0017-N,0,Owner Occupied,DEMO-0017-COLL-O,0.3521,OBO-0017,168303.8,DEMO-0017,IFA,2025-07-25,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,CB2 1TN,0,2025-12-31,Detached House,478000,Refinance,,Y,Monthly,Quarterly,176718.99,DEMO-0017,SYN-UID-0017,74,GB,CNEO,167812.69,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,6.934,SONIA,1M,0,31.209486842105267,71157.63,228000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,South East,South East,15,0,12,variable,N,DEMO-0018,2042-06-22,DEMO-0018-COLL-N,OBL-0018,DEMO-0018-N,0,Owner Occupied,DEMO-0018-COLL-O,0.3037,OBO-0018,69243.6,DEMO-0018,IFA,2024-06-22,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,RG1 2DP,0,2025-12-31,detached,228000,Equity release,,Y,Monthly,Quarterly,72705.78,DEMO-0018,SYN-UID-0018,81,GB,CNEO,71157.63,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,7.373,SONIA,1M,0,47.90350502512563,190655.95,398000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,FIXED,N,DEMO-0019,2042-04-14,DEMO-0019-COLL-N,OBL-0019,DEMO-0019-N,0,Owner Occupied,DEMO-0019-COLL-O,0.494,OBO-0019,196612.0,DEMO-0019,IFA,2024-04-14,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,LS1 4AP,0,2025-12-31,Semi Detached,398000,Debt Consolidation,,Y,Monthly,Quarterly,206442.6,DEMO-0019,SYN-UID-0019,80,GB,CNEO,190655.95,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.555,SONIA,1M,0,51.61481320754717,273558.51,530000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,Variable rate,N,DEMO-0020,2042-04-12,DEMO-0020-COLL-N,OBL-0020,DEMO-0020-N,0,Owner Occupied,DEMO-0020-COLL-O,0.4762,OBO-0020,252386.0,DEMO-0020,IFA,2024-04-12,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,NG1 5FS,0,2025-12-31,semi-detached house,530000,Purchase Main Residence,,Y,Monthly,Quarterly,265005.3,DEMO-0020,SYN-UID-0020,82,GB,CNEO,273558.51,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.313,SONIA,1M,0,28.018467933491685,117957.75,421000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Wales,Wales,15,0,12,Fixed,N,DEMO-0021,2043-05-20,DEMO-0021-COLL-N,OBL-0021,DEMO-0021-N,0,Owner Occupied,DEMO-0021-COLL-O,0.2849,OBO-0021,119942.9,DEMO-0021,IFA,2025-05-20,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,CF10 1EP,0,2025-12-31,Flat / Apartment,421000,Home improvements,,Y,Monthly,Quarterly,125940.04,DEMO-0021,SYN-UID-0021,64,GB,CNEO,117957.75,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,9.0,SONIA,1M,0,50.57370428015564,259948.84,514000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Scotland,Scotland,15,0,12,variable,N,DEMO-0022,2042-08-06,DEMO-0022-COLL-N,OBL-0022,DEMO-0022-N,0,Owner Occupied,DEMO-0022-COLL-O,0.5131,OBO-0022,263733.4,DEMO-0022,IFA,2024-08-06,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,EH1 1YZ,0,2025-12-31,flat,514000,Refinance,,Y,Monthly,Quarterly,276920.07,DEMO-0022,SYN-UID-0022,71,GB,CNEO,259948.84,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,9.115,SONIA,1M,0,40.16515546218488,95593.07,238000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,FIXED,N,DEMO-0023,2042-11-20,DEMO-0023-COLL-N,OBL-0023,DEMO-0023-N,0,Owner Occupied,DEMO-0023-COLL-O,0.3958,OBO-0023,94200.4,DEMO-0023,IFA,2024-11-20,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,LS1 4AP,0,2025-12-31,Bungalow,238000,Equity release,,Y,Monthly,Quarterly,98910.42,DEMO-0023,SYN-UID-0023,76,GB,CNEO,95593.07,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,9.135,SONIA,1M,0,26.22588732394366,93101.9,355000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,North West,North West,15,0,12,Variable rate,N,DEMO-0024,2042-03-19,DEMO-0024-COLL-N,OBL-0024,DEMO-0024-N,0,Owner Occupied,DEMO-0024-COLL-O,0.2602,OBO-0024,92371.0,DEMO-0024,IFA,2024-03-19,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,M1 1AE,0,2025-12-31,HOUSE,355000,Debt Consolidation,,Y,Monthly,Quarterly,96989.55,DEMO-0024,SYN-UID-0024,63,GB,CNEO,93101.9,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,7.033,SONIA,1M,0,36.84044285714286,206306.48,560000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Yorkshire and The Humber,Yorkshire and The Humber,15,0,12,Fixed,N,DEMO-0025,2042-12-09,DEMO-0025-COLL-N,OBL-0025,DEMO-0025-N,0,Owner Occupied,DEMO-0025-COLL-O,0.3434,OBO-0025,192304.0,DEMO-0025,Broker,2024-12-09,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,LS1 4AP,0,2025-12-31,Detached House,560000,Purchase Main Residence,,Y,Monthly,Quarterly,201919.2,DEMO-0025,SYN-UID-0025,77,GB,CNEO,206306.48,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.106,SONIA,1M,0,50.382214999999995,100764.43,200000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,North West,North West,15,0,12,variable,N,DEMO-0026,2042-12-21,DEMO-0026-COLL-N,OBL-0026,DEMO-0026-N,0,Owner Occupied,DEMO-0026-COLL-O,0.4793,OBO-0026,95860.0,DEMO-0026,IFA,2024-12-21,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,M1 1AE,0,2025-12-31,detached,200000,Home improvements,,Y,Monthly,Quarterly,100653.0,DEMO-0026,SYN-UID-0026,82,GB,CNEO,100764.43,,provided
Redeemed,0,Interest roll-up,0,,GBP,manual,N,0,6.364,SONIA,1M,0,35.65584635416667,136918.45,384000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,South East,South East,15,0,12,FIXED,N,DEMO-0027,2042-04-09,DEMO-0027-COLL-N,OBL-0027,DEMO-0027-N,15,Owner Occupied,DEMO-0027-COLL-O,0.3653,OBO-0027,140275.2,DEMO-0027,Direct,2024-04-09,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,RG1 2DP,0,2025-12-31,Semi Detached,384000,Refinance,2026-01-15,Y,Monthly,Quarterly,147288.96,DEMO-0027,SYN-UID-0027,85,GB,CNEO,136918.45,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,7.035,SONIA,1M,0,45.817113989637306,88427.03,193000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,Variable rate,N,DEMO-0028,2042-11-23,DEMO-0028-COLL-N,OBL-0028,DEMO-0028-N,0,Owner Occupied,DEMO-0028-COLL-O,0.4786,OBO-0028,92369.8,DEMO-0028,Broker,2024-11-23,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,NG1 5FS,0,2025-12-31,semi-detached house,193000,Equity release,,Y,Monthly,Quarterly,96988.29,DEMO-0028,SYN-UID-0028,82,GB,CNEO,88427.03,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.724,SONIA,1M,0,43.58895126353791,241482.79,554000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East of England,East of England,15,0,12,Fixed,N,DEMO-0029,2043-07-07,DEMO-0029-COLL-N,OBL-0029,DEMO-0029-N,0,Owner Occupied,DEMO-0029-COLL-O,0.4522,OBO-0029,250518.8,DEMO-0029,Direct,2025-07-07,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,CB2 1TN,0,2025-12-31,Flat / Apartment,554000,Debt Consolidation,,Y,Monthly,Quarterly,263044.74,DEMO-0029,SYN-UID-0029,82,GB,CNEO,241482.79,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,5.866,SONIA,1M,0,26.132673575129534,50436.06,193000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,West Midlands,West Midlands,15,0,12,variable,N,DEMO-0030,2043-05-04,DEMO-0030-COLL-N,OBL-0030,DEMO-0030-N,0,Owner Occupied,DEMO-0030-COLL-O,0.27,OBO-0030,52110.0,DEMO-0030,IFA,2025-05-04,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,B1 1AA,0,2025-12-31,flat,193000,Purchase Main Residence,,Y,Monthly,Quarterly,54715.5,DEMO-0030,SYN-UID-0030,71,GB,CNEO,50436.06,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.917,SONIA,1M,0,45.46838842975207,110033.5,242000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,FIXED,N,DEMO-0031,2043-06-20,DEMO-0031-COLL-N,OBL-0031,DEMO-0031-N,0,Owner Occupied,DEMO-0031-COLL-O,0.4443,OBO-0031,107520.6,DEMO-0031,Direct,2025-06-20,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,NG1 5FS,0,2025-12-31,Bungalow,242000,Home improvements,,Y,Monthly,Quarterly,112896.63,DEMO-0031,SYN-UID-0031,74,GB,CNEO,110033.5,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,6.432,SONIA,1M,0,54.51195061728396,176618.72,324000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East of England,East of England,15,0,12,Variable rate,N,DEMO-0032,2043-06-03,DEMO-0032-COLL-N,OBL-0032,DEMO-0032-N,0,Owner Occupied,DEMO-0032-COLL-O,0.5062,OBO-0032,164008.8,DEMO-0032,IFA,2025-06-03,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,CB2 1TN,0,2025-12-31,HOUSE,324000,Refinance,,Y,Monthly,Quarterly,172209.24,DEMO-0032,SYN-UID-0032,81,GB,CNEO,176618.72,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,5.836,SONIA,1M,0,42.654446188340806,190238.83,446000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,South East,South East,15,0,12,Fixed,N,DEMO-0033,2043-05-26,DEMO-0033-COLL-N,OBL-0033,DEMO-0033-N,0,Owner Occupied,DEMO-0033-COLL-O,0.4121,OBO-0033,183796.6,DEMO-0033,Broker,2025-05-26,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,RG1 2DP,0,2025-12-31,Detached House,446000,Equity release,,Y,Monthly,Quarterly,192986.43,DEMO-0033,SYN-UID-0033,76,GB,CNEO,190238.83,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.972,SONIA,1M,0,39.936828660436134,128197.22,321000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,Scotland,Scotland,15,0,12,variable,N,DEMO-0034,2043-04-20,DEMO-0034-COLL-N,OBL-0034,DEMO-0034-N,0,Owner Occupied,DEMO-0034-COLL-O,0.3643,OBO-0034,116940.3,DEMO-0034,IFA,2025-04-20,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,EH1 1YZ,0,2025-12-31,detached,321000,Debt Consolidation,,Y,Monthly,Quarterly,122787.32,DEMO-0034,SYN-UID-0034,75,GB,CNEO,128197.22,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,8.01,SONIA,1M,0,36.27239923224568,188979.2,521000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,London,London,15,0,12,FIXED,N,DEMO-0035,2042-09-18,DEMO-0035-COLL-N,OBL-0035,DEMO-0035-N,0,Owner Occupied,DEMO-0035-COLL-O,0.3379,OBO-0035,176045.9,DEMO-0035,Broker,2024-09-18,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,SW1A 1AA,0,2025-12-31,Semi Detached,521000,Purchase Main Residence,,Y,Monthly,Quarterly,184848.2,DEMO-0035,SYN-UID-0035,62,GB,CNEO,188979.2,,provided
Active,0,Interest roll-up,0,,GBP,manual,N,0,7.245,SONIA,1M,0,32.54491681109186,187784.17,577000,2026-01-31,Full survey,2025-11-30,2025-01-31,0,,0,manual,GBP,East Midlands,East Midlands,15,0,12,Variable rate,N,DEMO-0036,2042-11-27,DEMO-0036-COLL-N,OBL-0036,DEMO-0036-N,0,Owner Occupied,DEMO-0036-COLL-O,0.3199,OBO-0036,184582.3,DEMO-0036,Broker,2024-11-27,213800ABCDE123456701N202501,ERE Funding Limited,0,2025-01-31,NG1 5FS,0,2025-12-31,semi-detached house,577000,Home improvements,,Y,Monthly,Quarterly,193811.42,DEMO-0036,SYN-UID-0036,83,GB,CNEO,187784.17,,provided
